ID,time,x,y
0,0.0,6105.503665096503,5527.468973715375
0,2.0,6154.633092676823,5486.495464963411
0,4.0,6203.762520257144,5445.521956211445
0,6.0,6252.891947837464,5404.5484474594805
0,8.0,6302.021375417784,5363.574938707516
0,10.0,6351.150802998104,5322.601429955552
0,12.0,6400.280230578424,5281.627921203586
0,14.0,6449.409658158744,5240.654412451621
0,16.0,6498.539085739065,5199.6809036996565
0,18.0,6547.668513319385,5158.707394947693
0,20.0,6596.797940899705,5117.733886195727
0,22.0,6645.927368480025,5076.760377443762
0,24.0,6695.056796060346,5035.786868691797
0,26.0,6744.186223640665,4994.813359939833
0,28.0,6793.315651220986,4953.839851187868
0,30.0,6842.4450788013055,4912.866342435902
0,32.0,6891.574506381626,4871.892833683938
0,34.0,6940.703933961946,4830.919324931974
0,36.0,6989.833361542267,4789.9458161800085
0,38.0,7038.962789122586,4748.972307428044
0,40.0,7088.092216702907,4707.998798676079
0,42.0,7137.221644283227,4667.025289924114
0,44.0,7186.351071863546,4626.051781172149
0,46.0,7235.480499443867,4585.0782724201845
0,48.0,7284.6099270241875,4544.10476366822
0,50.0,7333.739354604508,4503.131254916256
0,52.0,7382.868782184827,4462.15774616429
0,54.0,7431.998209765148,4421.184237412325
0,56.0,7481.127637345468,4380.2107286603605
0,58.0,7530.257064925788,4339.237219908396
0,60.0,7579.386492506109,4298.263711156431
0,62.0,7565.83261899481,4299.184755815501
0,64.0,7515.233711700915,4324.864948754752
0,66.0,7464.634804407019,4350.545141694003
0,68.0,7414.035897113124,4376.225334633255
0,70.0,7363.436989819229,4401.905527572505
0,72.0,7312.838082525332,4427.585720511756
0,74.0,7262.239175231437,4453.265913451008
0,76.0,7211.640267937542,4478.946106390259
0,78.0,7161.041360643646,4504.6262993295095
0,80.0,7110.442453349751,4530.306492268761
0,82.0,7059.843546055855,4555.986685208012
0,84.0,7009.24463876196,4581.666878147264
0,86.0,6958.645731468065,4607.347071086515
0,88.0,6908.046824174169,4633.027264025766
0,90.0,6857.447916880274,4658.707456965017
0,92.0,6806.849009586378,4684.387649904268
0,94.0,6756.250102292483,4710.067842843519
0,96.0,6705.651194998587,4735.74803578277
0,98.0,6655.052287704692,4761.428228722021
0,100.0,6604.453380410796,4787.108421661273
0,102.0,6553.8544731169,4812.788614600524
0,104.0,6503.255565823005,4838.468807539775
0,106.0,6452.656658529109,4864.149000479025
0,108.0,6402.057751235214,4889.829193418276
0,110.0,6351.458843941318,4915.509386357528
0,112.0,6300.859936647424,4941.189579296779
0,114.0,6250.261029353528,4966.86977223603
0,116.0,6199.662122059632,4992.549965175282
0,118.0,6149.063214765737,5018.230158114532
0,120.0,6098.4643074718415,5043.910351053783
0,122.0,6047.865400177946,5069.590543993035
0,124.0,5997.2664928840495,5095.270736932286
0,126.0,5946.667585590155,5120.9509298715375
0,128.0,5896.068678296259,5146.631122810788
0,130.0,5845.469771002364,5172.311315750039
0,132.0,5794.870863708468,5197.991508689291
0,134.0,5744.271956414573,5223.671701628541
0,136.0,5693.673049120677,5249.351894567792
0,138.0,5643.074141826782,5275.032087507044
0,140.0,5592.475234532886,5300.712280446294
0,142.0,5541.876327238991,5326.392473385546
0,144.0,5491.277419945095,5352.072666324797
0,146.0,5440.6785126512,5377.752859264048
0,148.0,5390.079605357304,5403.4330522033
0,150.0,5339.480698063409,5429.11324514255
0,152.0,5288.881790769514,5454.7934380818015
0,154.0,5238.282883475618,5480.473631021053
0,156.0,5187.683976181723,5506.153823960303
0,158.0,5137.085068887827,5531.834016899555
0,160.0,5086.486161593932,5557.514209838806
1,0.0,6937.10965081788,7326.295290423215
1,2.0,6949.552568257342,7265.388184858509
1,4.0,6961.9954856968025,7204.4810792938015
1,6.0,6974.438403136263,7143.573973729094
1,8.0,6986.881320575725,7082.666868164388
1,10.0,6999.324238015188,7021.759762599681
1,12.0,7011.767155454648,6960.852657034974
1,14.0,7024.2100728941095,6899.945551470267
1,16.0,7036.65299033357,6839.03844590556
1,18.0,7049.095907773032,6778.131340340853
1,20.0,7061.538825212493,6717.224234776146
1,22.0,7073.981742651955,6656.317129211438
1,24.0,7086.424660091416,6595.410023646733
1,26.0,7098.867577530878,6534.502918082026
1,28.0,7111.310494970339,6473.595812517318
1,30.0,7123.7534124098,6412.688706952611
1,32.0,7136.196329849261,6351.781601387905
1,34.0,7148.639247288723,6290.874495823198
1,36.0,7161.082164728185,6229.967390258491
1,38.0,7173.525082167645,6169.060284693784
1,40.0,7185.967999607107,6108.153179129076
1,42.0,7198.410917046568,6047.24607356437
1,44.0,7210.85383448603,5986.338967999664
1,46.0,7223.296751925491,5925.431862434957
1,48.0,7235.739669364952,5864.52475687025
1,50.0,7248.1825868044125,5803.617651305542
1,52.0,7260.625504243875,5742.710545740836
1,54.0,7273.068421683336,5681.803440176129
1,56.0,7285.511339122798,5620.896334611422
1,58.0,7297.954256562259,5559.989229046715
1,60.0,7310.39717400172,5499.082123482009
1,62.0,7275.256787342881,5486.567383528378
1,64.0,7211.995273093253,5502.651916230506
1,66.0,7148.733758843626,5518.736448932635
1,68.0,7085.472244593998,5534.820981634763
1,70.0,7022.210730344371,5550.905514336891
1,72.0,6958.949216094743,5566.99004703902
