#Node Time X Y
0 0.0 8211.971520419835 8616.756819277221
0 2.0 8217.54209438276 8640.050715833306
0 4.0 8223.112668345682 8663.344612389388
0 6.0 8228.683242308605 8686.638508945472
0 8.0 8234.25381627153 8709.932405501555
0 10.0 8239.824390234453 8733.226302057637
0 12.0 8245.394964197376 8756.52019861372
0 14.0 8250.965538160299 8779.814095169804
0 16.0 8256.536112123222 8803.107991725887
0 18.0 8262.106686086147 8826.40188828197
0 20.0 8267.67726004907 8849.695784838053
0 22.0 8273.247834011994 8872.989681394136
0 24.0 8278.818407974915 8896.28357795022
0 26.0 8284.38898193784 8919.577474506303
0 28.0 8289.959555900763 8942.871371062385
0 30.0 8295.530129863688 8966.16526761847
0 32.0 8301.10070382661 8989.459164174552
0 34.0 8306.671277789534 9012.753060730636
0 36.0 8289.909235162719 9032.453454248767
0 38.0 8266.380309167678 9051.065000168437
0 40.0 8242.851383172638 9069.676546088105
0 42.0 8219.322457177597 9088.288092007771
0 44.0 8195.793531182559 9106.899637927441
0 46.0 8172.264605187516 9125.511183847108
0 48.0 8148.735679192476 9144.122729766777
0 50.0 8125.206753197435 9162.734275686445
0 52.0 8101.677827202396 9181.345821606114
0 54.0 8078.148901207355 9199.957367525782
0 56.0 8054.619975212316 9218.56891344545
0 58.0 8031.091049217275 9237.180459365118
0 60.0 8007.562123222235 9255.792005284786
0 62.0 7984.033197227194 9274.403551204454
0 64.0 7960.504271232154 9293.015097124122
0 66.0 7936.975345237113 9311.62664304379
0 68.0 7913.446419242074 9330.238188963458
0 70.0 7889.917493247033 9348.849734883126
0 72.0 7866.388567251993 9367.461280802794
0 74.0 7842.859641256952 9386.072826722462
0 76.0 7819.330715261912 9404.68437264213
0 78.0 7795.801789266871 9423.295918561798
0 80.0 7772.272863271831 9441.907464481466
0 82.0 7748.743937276791 9460.519010401134
0 84.0 7725.215011281751 9479.130556320804
0 86.0 7701.68608528671 9497.74210224047
0 88.0 7678.15715929167 9516.35364816014
0 90.0 7654.628233296629 9534.965194079808
0 92.0 7631.09930730159 9553.576739999475
0 94.0 7607.570381306549 9572.188285919143
0 96.0 7610.391358060927 9574.94888464044
0 98.0 7621.19647397575 9572.906574999599
0 100.0 7632.001589890575 9570.86426535876
