#Node Time X Y
0 0.0 6422.851586902825 500.0
0 2.0 6382.851586902825 500.0
0 4.0 6342.851586902825 500.00000000000006
0 6.0 6302.851586902825 500.0
0 8.0 6262.851586902825 500.0
0 10.0 6222.851586902825 500.0
0 12.0 6182.851586902825 500.0
0 14.0 6142.851586902825 500.0
0 16.0 6102.851586902825 500.0
0 18.0 6062.851586902825 500.0
0 20.0 6022.851586902825 499.99999999999994
0 22.0 5982.851586902825 500.0
0 24.0 5942.851586902825 500.0
0 26.0 5902.851586902825 500.0
0 28.0 5862.851586902825 500.0
0 30.0 5822.851586902825 500.0
0 32.0 5782.851586902825 500.0
0 34.0 5742.851586902825 500.0
0 36.0 5702.851586902825 500.0
0 38.0 5662.851586902825 500.0
0 40.0 5622.851586902825 500.0
0 42.0 5582.851586902825 500.0
0 44.0 5542.851586902825 500.0
0 46.0 5502.851586902825 500.0
0 48.0 5500.0 462.85158690282515
0 50.0 5500.0 422.85158690282515
0 52.0 5500.0 382.85158690282515
0 54.0 5500.0 342.85158690282515
0 56.0 5500.0 302.85158690282515
0 58.0 5500.0 262.85158690282515
0 60.0 5500.0 222.85158690282515
0 62.0 5500.0 182.85158690282515
0 64.0 5500.0 142.85158690282512
0 66.0 5500.0 102.85158690282515
0 68.0 5500.0 62.85158690282516
0 70.0 5500.0 22.851586902825126
0 72.0 5482.851586902825 0.0
0 74.0 5442.851586902825 0.0
0 76.0 5402.851586902825 0.0
0 78.0 5362.851586902825 0.0
0 80.0 5322.851586902825 0.0
0 82.0 5282.851586902825 0.0
0 84.0 5242.851586902825 0.0
0 86.0 5202.851586902825 0.0
0 88.0 5162.851586902825 0.0
0 90.0 5122.851586902825 0.0
0 92.0 5082.851586902825 0.0
0 94.0 5042.851586902825 0.0
0 96.0 5002.851586902825 0.0
0 98.0 4962.851586902825 0.0
0 100.0 4922.851586902825 0.0
0 102.0 4882.851586902825 0.0
0 104.0 4842.851586902825 0.0
0 106.0 4802.851586902825 0.0
0 108.0 4762.851586902825 0.0
0 110.0 4722.851586902825 0.0
0 112.0 4682.851586902825 0.0
0 114.0 4642.851586902825 0.0
0 116.0 4602.851586902825 0.0
0 118.0 4562.851586902825 0.0
0 120.0 4522.851586902825 0.0
0 122.0 4500.0 17.14841309717479
0 124.0 4500.0 57.14841309717464
0 126.0 4500.0 97.14841309717448
0 128.0 4500.0 137.14841309717434
0 130.0 4500.0 177.1484130971742
0 132.0 4500.0 217.148413097174
0 134.0 4500.0 257.1484130971739
0 136.0 4500.0 297.1484130971737
0 138.0 4500.0 337.14841309717355
0 140.0 4500.0 377.14841309717343
0 142.0 4500.0 417.1484130971732
0 144.0 4500.0 457.1484130971731
0 146.0 4500.0 497.148413097173
0 148.0 4500.0 537.1484130971728
0 150.0 4500.0 577.1484130971727
0 152.0 4500.0 617.1484130971726
0 154.0 4500.0 657.1484130971724
0 156.0 4500.0 697.1484130971721
0 158.0 4500.0 737.148413097172
0 160.0 4500.0 777.1484130971719
1 0.0 4864.911172980674 1500.0
1 2.0 4824.911172980674 1499.9999999999998
1 4.0 4784.911172980673 1500.0
1 6.0 4744.911172980674 1500.0
1 8.0 4704.911172980675 1500.0
1 10.0 4664.911172980674 1500.0
1 12.0 4624.911172980674 1499.9999999999998
1 14.0 4584.911172980674 1500.0
1 16.0 4544.911172980674 1500.0
1 18.0 4504.911172980674 1500.0
1 20.0 4464.911172980673 1500.0
1 22.0 4424.911172980674 1500.0
1 24.0 4384.911172980674 1500.0
1 26.0 4344.911172980674 1500.0
1 28.0 4304.911172980674 1500.0
1 30.0 4264.911172980674 1500.0
1 32.0 4224.911172980674 1500.0
1 34.0 4184.911172980674 1500.0
1 36.0 4144.911172980674 1500.0
1 38.0 4104.911172980674 1500.0
1 40.0 4064.9111729806737 1500.0
1 42.0 4024.9111729806737 1500.0
1 44.0 3984.9111729806737 1500.0
1 46.0 3944.911172980673 1500.0
1 48.0 3904.9111729806737 1500.0
1 50.0 3864.9111729806737 1500.0
1 52.0 3824.9111729806737 1500.0
1 54.0 3784.911172980674 1500.0
1 56.0 3744.9111729806737 1500.0
1 58.0 3704.911172980674 1500.0
1 60.0 3664.9111729806737 1500.0
1 62.0 3624.9111729806737 1500.0
1 64.0 3584.9111729806737 1500.0
1 66.0 3544.911172980673 1500.0
1 68.0 3504.9111729806737 1500.0
1 70.0 3464.9111729806737 1500.0
1 72.0 3424.9111729806737 1500.0
1 74.0 3384.9111729806737 1500.0
1 76.0 3344.9111729806737 1500.0
1 78.0 3304.9111729806737 1500.0
1 80.0 3264.9111729806737 1500.0
1 82.0 3224.9111729806737 1500.0
1 84.0 3184.9111729806737 1500.0
1 86.0 3144.9111729806737 1500.0
1 88.0 3104.9111729806737 1500.0
1 90.0 3064.9111729806737 1500.0
1 92.0 3024.9111729806737 1500.0
1 94.0 2984.9111729806737 1500.0
1 96.0 2944.9111729806737 1500.0
1 98.0 2904.9111729806737 1500.0
1 100.0 2864.9111729806737 1500.0
1 102.0 2824.9111729806737 1500.0
1 104.0 2784.9111729806737 1500.0
1 106.0 2744.9111729806737 1500.0
1 108.0 2704.9111729806737 1500.0
1 110.0 2664.9111729806737 1500.0
1 112.0 2624.9111729806737 1500.0
