#Node Time X Y
0 0.0 4786.948185640607 7595.117904098631
0 2.0 4838.850475115089 7546.3644203061895
0 4.0 4890.752764589571 7497.610936513748
0 6.0 4942.655054064052 7448.857452721306
0 8.0 4994.557343538534 7400.103968928865
0 10.0 5046.459633013015 7351.350485136423
0 12.0 5098.361922487497 7302.597001343982
0 14.0 5150.2642119619795 7253.843517551541
0 16.0 5202.166501436461 7205.090033759099
0 18.0 5254.068790910943 7156.336549966657
0 20.0 5305.971080385425 7107.583066174216
0 22.0 5357.873369859905 7058.829582381774
0 24.0 5419.263823405948 7060.705578226612
0 26.0 5486.393981366553 7093.209021656622
0 28.0 5553.52413932716 7125.712465086632
0 30.0 5620.654297287767 7158.215908516642
0 32.0 5687.784455248373 7190.719351946653
0 34.0 5754.914613208979 7223.222795376663
0 36.0 5822.044771169585 7255.726238806674
0 38.0 5889.174929130191 7288.229682236683
0 40.0 5956.305087090797 7320.733125666694
0 42.0 6023.435245051404 7353.236569096704
0 44.0 6090.565403012011 7385.740012526714
0 46.0 6157.6955609726165 7418.243455956725
0 48.0 6224.8257189332235 7450.746899386735
0 50.0 6280.544166451524 7493.8524488611565
0 52.0 6294.73670769556 7575.537847003826
0 54.0 6308.929248939595 7657.223245146495
0 56.0 6323.121790183631 7738.908643289165
0 58.0 6337.314331427666 7820.594041431833
0 60.0 6351.506872671702 7902.279439574502
0 62.0 6365.699413915738 7983.964837717172
0 64.0 6379.891955159774 8065.65023585984
0 66.0 6394.08449640381 8147.335634002509
0 68.0 6408.277037647846 8229.021032145178
0 70.0 6422.469578891881 8310.706430287848
0 72.0 6436.662120135917 8392.391828430516
0 74.0 6445.058621183 8474.515949054528
0 76.0 6421.658184817583 8559.046890681622
0 78.0 6398.257748452167 8643.577832308716
0 80.0 6374.857312086752 8728.10877393581
0 82.0 6351.456875721335 8812.639715562904
0 84.0 6328.05643935592 8897.170657189998
0 86.0 6304.656002990503 8981.701598817092
0 88.0 6281.255566625087 9066.232540444185
0 90.0 6257.855130259672 9150.76348207128
0 92.0 6234.454693894255 9235.294423698373
0 94.0 6211.054257528839 9319.825365325467
0 96.0 6187.653821163423 9404.35630695256
0 98.0 6121.035938625022 9407.833763049437
0 100.0 6040.240476657303 9384.72144277387
0 102.0 5959.445014689583 9361.609122498305
0 104.0 5878.649552721864 9338.496802222739
0 106.0 5797.854090754143 9315.38448194717
0 108.0 5717.058628786424 9292.272161671604
0 110.0 5636.263166818704 9269.159841396038
0 112.0 5555.467704850986 9246.047521120472
0 114.0 5474.672242883265 9222.935200844906
0 116.0 5393.876780915546 9199.82288056934
0 118.0 5313.081318947827 9176.710560293775
0 120.0 5232.285856980107 9153.59824001821
0 122.0 5247.250962249234 9210.147116797752
0 124.0 5278.672548528935 9280.385793193609
0 126.0 5310.094134808636 9350.624469589464
0 128.0 5341.515721088335 9420.863145985322
0 130.0 5372.937307368036 9491.101822381177
0 132.0 5404.358893647736 9561.340498777034
0 134.0 5435.780479927436 9631.57917517289
0 136.0 5467.202066207137 9701.817851568749
0 138.0 5498.623652486837 9772.056527964603
0 140.0 5530.045238766537 9842.29520436046
0 142.0 5561.466825046237 9912.533880756317
0 144.0 5592.888411325938 9982.772557152173
0 146.0 5624.309997605635 9946.988766451977
0 148.0 5691.0814982487855 9952.875430827311
0 150.0 5763.735416247573 9971.429764525754
0 152.0 5836.389334246362 9989.984098224193
0 154.0 5909.043252245149 9991.461568077368
0 156.0 5981.697170243935 9972.90723437893
0 158.0 6054.35108824272 9954.352900680491
0 160.0 6127.005006241506 9935.798566982052
1 0.0 9876.7530317782 7217.643167015409
1 2.0 9799.258440633861 7197.568335513373
1 4.0 9721.763849489522 7177.493504011338
1 6.0 9644.26925834518 7157.418672509301
1 8.0 9566.77466720084 7137.343841007266
1 10.0 9545.794214750244 7145.722179194128
1 12.0 9607.615478912458 7195.788692194797
1 14.0 9669.436743074672 7245.855205195463
1 16.0 9731.258007236886 7295.92171819613
1 18.0 9793.079271399098 7345.988231196798
1 20.0 9854.900535561312 7396.054744197465
1 22.0 9916.721799723526 7446.121257198132
1 24.0 9978.54306388574 7496.1877701988
1 26.0 9959.635671952046 7546.254283199467
1 28.0 9897.814407789834 7596.320796200134
1 30.0 9835.99314362762 7646.387309200802
1 32.0 9774.171879465408 7696.453822201469
1 34.0 9712.350615303192 7746.520335202136
1 36.0 9766.930641261799 7748.052973747652
1 38.0 9844.468018787067 7740.01347423866
1 40.0 9922.005396312336 7731.973974729668
1 42.0 9999.542773837604 7723.934475220675
1 44.0 9922.91984863713 7715.8949757116825
1 46.0 9845.382471111861 7707.8554762026915
1 48.0 9767.845093586593 7699.8159766937
1 50.0 9690.307716061327 7691.776477184707
1 52.0 9612.770338536058 7683.736977675716
1 54.0 9535.232961010792 7675.697478166724
1 56.0 9457.695583485525 7667.657978657731
1 58.0 9380.158205960259 7659.61847914874
1 60.0 9303.294777873565 7652.191618412398
1 62.0 9321.620971471195 7731.294769661595
1 64.0 9339.94716506882 7810.397920910792
1 66.0 9358.273358666447 7889.501072159988
1 68.0 9376.599552264073 7968.604223409184
1 70.0 9394.9257458617 8047.707374658381
1 72.0 9413.251939459326 8126.810525907577
1 74.0 9431.578133056952 8205.913677156774
1 76.0 9449.904326654578 8285.016828405971
1 78.0 9468.230520252206 8364.119979655168
1 80.0 9486.556713849834 8443.223130904364
1 82.0 9504.88290744746 8522.32628215356
1 84.0 9523.209101045086 8601.429433402758
1 86.0 9484.838152904731 8587.171417631347
1 88.0 9421.17233310565 8531.261236242683
1 90.0 9357.506513306567 8475.351054854018
1 92.0 9293.840693507484 8419.440873465353
1 94.0 9230.174873708402 8363.530692076689
1 96.0 9166.509053909322 8307.620510688024
1 98.0 9102.843234110238 8251.71032929936
1 100.0 9039.177414311154 8195.800147910695
1 102.0 8975.511594512074 8139.889966522031
1 104.0 8911.84577471299 8083.979785133366
1 106.0 8848.179954913909 8028.069603744701
1 108.0 8784.514135114827 7972.159422356037
1 110.0 8834.508321178611 8017.8484419587785
1 112.0 8898.637555707537 8076.172597545639
1 114.0 8962.766790236461 8134.496753132502
1 116.0 9026.896024765387 8192.820908719363
1 118.0 9091.025259294312 8251.145064306224
1 120.0 9155.154493823236 8309.469219893086
1 122.0 9219.283728352162 8367.793375479947
1 124.0 9283.412962881088 8426.117531066808
1 126.0 9347.542197410014 8484.441686653669
1 128.0 9411.671431938938 8542.76584224053
1 130.0 9475.800666467863 8601.089997827392
1 132.0 9546.265841431126 8650.255097799129
1 134.0 9628.325951088673 8682.658889355913
1 136.0 9710.38606074622 8715.062680912697
1 138.0 9792.446170403766 8747.466472469481
1 140.0 9874.506280061312 8779.870264026267
1 142.0 9956.56638971886 8812.274055583051
1 144.0 9961.373500623595 8844.677847139836
1 146.0 9879.313390966045 8877.08163869662
1 148.0 9797.253281308498 8909.485430253404
1 150.0 9715.193171650952 8941.88922181019
1 152.0 9633.133061993405 8974.293013366974
1 154.0 9551.503063439588 9006.848812024748
1 156.0 9492.253600762848 9047.31419578215
1 158.0 9433.004138086106 9087.77957953955
1 160.0 9373.754675409366 9128.244963296953
2 0.0 4809.427303159504 2029.0124093915672
2 2.0 4729.258355506449 2058.869222988955
2 4.0 4649.089407853397 2088.726036586342
2 6.0 4568.920460200342 2118.58285018373
2 8.0 4488.751512547289 2148.4396637811174
2 10.0 4408.582564894235 2178.2964773785047
2 12.0 4328.413617241181 2208.1532909758926
2 14.0 4248.244669588127 2238.01010457328
2 16.0 4168.0757219350735 2267.8669181706673
2 18.0 4087.9067742820193 2297.723731768055
2 20.0 4012.8899781728715 2293.505436743008
2 22.0 3943.808471542609 2250.032544492868
2 24.0 3874.7269649123473 2206.559652242729
2 26.0 3805.645458282085 2163.0867599925896
2 28.0 3736.563951651823 2119.6138677424506
2 30.0 3667.482445021562 2076.140975492311
2 32.0 3598.4009383913 2032.6680832421719
2 34.0 3529.319431761038 1989.1951909920324
2 36.0 3460.237925130776 1945.7222987418932
2 38.0 3391.1564185005145 1902.2494064917537
2 40.0 3322.0749118702524 1858.7765142416144
2 42.0 3252.993405239991 1815.303621991475
2 44.0 3184.5325549385066 1769.2996504918467
2 46.0 3118.363819039239 1713.9482786163376
2 48.0 3052.1950831399718 1658.596906740829
2 50.0 2986.0263472407046 1603.24553486532
2 52.0 2919.8576113414374 1547.894162989811
2 54.0 2853.68887544217 1492.542791114302
2 56.0 2787.5201395429026 1437.1914192387933
2 58.0 2721.3514036436354 1381.8400473632844
2 60.0 2655.1826677443682 1326.4886754877755
2 62.0 2589.013931845101 1271.1373036122666
2 64.0 2522.845195945834 1215.7859317367577
2 66.0 2456.6764600465663 1160.4345598612488
2 68.0 2383.910175500997 1167.1004748759867
2 70.0 2307.1212293958297 1211.5796095240069
2 72.0 2230.3322832906624 1256.0587441720268
2 74.0 2153.543337185496 1300.5378788200471
2 76.0 2076.754391080329 1345.0170134680673
2 78.0 1999.965444975162 1389.4961481160874
2 80.0 1923.1764988699952 1433.9752827641075
2 82.0 1846.3875527648283 1478.454417412128
2 84.0 1769.5986066596613 1522.933552060148
2 86.0 1692.8096605544945 1567.4126867081682
